+-------------------------------------------------------------------------+---------------------------------------------------------------------------+------+----+------+
|                                   Text                                  |                                Translation                                | From | To | key  |
|                   teoría para valuar activos de riesgo                  |                        theory to value risky assets                       |  es  | en |  61  |
|                                calendario                               |                                  calendar                                 |  es  | en |  62  |
|                          pago contra documentos                         |                           cash against documents                          |  es  | en |  63  |
|                        en la situación financiera                       |                           in financial position                           |  es  | en |  64  |
|                       letra de cambio documentada                       |                        documented bill of exchange                        |  es  | en |  65  |
|                          deudas de cobro dudoso                         |                               doubtful debts                              |  es  | en |  66  |
|                       fecha de pago de dividendos                       |                           dividend payment date                           |  es  | en |  67  |
|                      negociación fuera de la bolsa                      |                            off-exchange trading                           |  es  | en |  68  |
|                            dividendo opcional                           |                             optional dividend                             |  es  | en |  69  |
|                                  forint                                 |                                   forint                                  |  es  | en |  70  |
|                                  nicho                                  |                                   niche                                   |  es  | en |  71  |
|                           acuerdo de cartagena                          |                            Cartagena Agreement                            |  es  | en |  72  |
|      obligación negociable respaldada por activos de otra sociedad      |             corporate bond backed by assets of another company            |  es  | en |  73  |
|                                  activo                                 |                                   active                                  |  es  | en |  74  |
|                    tasa de retorno antes de impuestos                   |                           return rate before tax                          |  es  | en |  75  |
|                 cuenta de corretaje al contado inmediato                |                     cash brokerage account immediately                    |  es  | en |  76  |
|                            sistema impositivo                           |                                 tax system                                |  es  | en |  77  |
|                 análisis de la relación costo-beneficio                 |                        analysis of the cost-benefit                       |  es  | en |  78  |
|                            margen de ganancia                           |                               profit margin                               |  es  | en |  79  |
|                            orden alternativa                            |                             alternative order                             |  es  | en |  80  |
|                            vida útil estimada                           |                           estimated useful life                           |  es  | en |  81  |
|                        fijar tipo de cambio libre                       |                               free rate set                               |  es  | en |  82  |
|                     inversiones en bienes de capital                    |                        investment in capital goods                        |  es  | en |  83  |
|                             debitar cuentas                             |                               debit accounts                              |  es  | en |  84  |
|                                honorarios                               |                                    fee                                    |  es  | en |  85  |
|                         título valor nominativo                         |                              nominative title                             |  es  | en |  86  |
|                          sociedad no cotizante                          |                           no company contributor                          |  es  | en |  87  |
|                                  anular                                 |                                    void                                   |  es  | en |  88  |
|                            ganancia realizada                           |                               gain realized                               |  es  | en |  89  |
|                                  comité                                 |                                 committee                                 |  es  | en |  90  |
|                              pago a cuenta                              |                             payment on account                            |  es  | en |  91  |
|                           tasa de interés real                          |                             real interest rate                            |  es  | en |  92  |
|                             interés mensual                             |                              monthly interest                             |  es  | en |  93  |
|                                  ahorro                                 |                                   saving                                  |  es  | en |  94  |
|                           sociedad depositaria                          |                               as depository                               |  es  | en |  95  |
|                          amortización acelerada                         |                          accelerated depreciation                         |  es  | en |  96  |
|                    plan de repartición de utilidades                    |                            profit sharing plan                            |  es  | en |  97  |
|              criterio contable que se basa en lo percibido              |             accounting policy which is based on the perceived             |  es  | en |  98  |
|                               bono bullet                               |                                bullet bond                                |  es  | en |  99  |
|                           superávit de capital                          |                              capital surplus                              |  es  | en | 100  |
|                               acción líder                              |                               leading action                              |  es  | en | 101  |
|                        coeficiente de volatilidad                       |                           volatility coefficient                          |  es  | en | 102  |
|                      primera entrada primera salida                     |                            first-in, first out                            |  es  | en | 103  |
|                            capital accionario                           |                                   equity                                  |  es  | en | 104  |
|                             cambio de precio                            |                                price change                               |  es  | en | 105  |
|                         entrega en tiempo y modo                        |                         delivery on time and mode                         |  es  | en | 106  |
|                            auditoría externa                            |                               external audit                              |  es  | en | 107  |
|                             orden revocable                             |                              revocable order                              |  es  | en | 108  |
|                              desdoblamiento                             |                                 splitting                                 |  es  | en | 109  |
|                contrato de futuros sobre tasas de interés               |                       contract interest rate futures                      |  es  | en | 110  |
|                                reembarque                               |                                 reloading                                 |  es  | en | 111  |
|                                 ganancia                                |                                    gain                                   |  es  | en | 112  |
|                         economía presupuestaria                         |                               budget economy                              |  es  | en | 113  |
|                         intermediario a comisión                        |                          intermediary commission                          |  es  | en | 114  |
|                          libros de contabilidad                         |                                  ledgers                                  |  es  | en | 115  |
|                                impuestos                                |                                  taxation                                 |  es  | en | 116  |
|                          analítico de ingresos                          |                             Analytical revenue                            |  es  | en | 117  |
|                              masa concursal                             |                             bankruptcy estate                             |  es  | en | 118  |
|                                  tarifa                                 |                                    rate                                   |  es  | en | 119  |
|                                prioridad                                |                                  priority                                 |  es  | en | 120  |
|                                 córdoba                                 |                                  Cordova                                  |  es  | en | 121  |
|                              microeconomía                              |                               microeconomics                              |  es  | en | 122  |
|                               organización                              |                                organization                               |  es  | en | 123  |
|                           junta de acreedores                           |                            meeting of creditors                           |  es  | en | 124  |
|                        microdevaluación periódica                       |                         periodic microdevaluación                         |  es  | en | 125  |
|                           contrato de opciones                          |                              options contract                             |  es  | en | 126  |
|                                 concepto                                |                                  concept                                  |  es  | en | 127  |
|                           dividendo propuesto                           |                             proposed dividend                             |  es  | en | 128  |
|                          riesgo no sistemático                          |                             unsystematic risk                             |  es  | en | 129  |
|               retorno ajustado por exposición a un riesgo               |                       adjusted return risk exposure                       |  es  | en | 130  |
|                              valor teórico                              |                             theoretical value                             |  es  | en | 131  |
|                             estado de cuenta                            |                                 statement                                 |  es  | en | 132  |
|                         asiento de concentración                        |                             concentration seat                            |  es  | en | 133  |
|                cambio brusco en la dirección del mercado                |                     abrupt change in market direction                     |  es  | en | 134  |
|                             unidad monetaria                            |                                  currency                                 |  es  | en | 135  |
|                       cerrar una posición abierta                       |                           close an open position                          |  es  | en | 136  |
|                             bono ascendente                             |                                  up bonus                                 |  es  | en | 137  |
|                                cotizacion                               |                                   quote                                   |  es  | en | 138  |
|                                 librador                                |                                   drawer                                  |  es  | en | 139  |
|               acciones de compañías de servicios públicos               |                             actions utilities                             |  es  | en | 140  |
|                            pagaré al portador                           |                                bearer note                                |  es  | en | 141  |
|                               volatilidad                               |                                 volatility                                |  es  | en | 142  |
|                                  sucre                                  |                                   sucre                                   |  es  | en | 143  |
|                          agente de dos dólares                          |                              two dollar agent                             |  es  | en | 144  |
|                               oligopsonio                               |                                 oligopsony                                |  es  | en | 145  |
|                          asignación de recursos                         |                                 allocation                                |  es  | en | 146  |
|                         inversión presupuestada                         |                            investment budgeted                            |  es  | en | 147  |
|                        subasta de bonos soberanos                       |                           sovereign bond auction                          |  es  | en | 148  |
|                              demanda total                              |                                Total demand                               |  es  | en | 149  |
|                           bono a tasa flotante                          |                             floating rate bond                            |  es  | en | 150  |
|                            agente de seguros                            |                              insurance agent                              |  es  | en | 151  |
|                 obligación colateralizada con hipotecas                 |                     Collateralized mortgage obligation                    |  es  | en | 152  |
|                             holding bancario                            |                                bank holding                               |  es  | en | 153  |
|                     población económicamente activa                     |                       economically active population                      |  es  | en | 154  |
|                                 comisión                                |                                 commission                                |  es  | en | 155  |
|                             orden de compra                             |                               purchase order                              |  es  | en | 156  |
|                             mercado ilíquido                            |                              illiquid market                              |  es  | en | 157  |
|                           opción sobre índices                          |                             options on indices                            |  es  | en | 158  |
|                             bienes gravados                             |                                 encumbered                                |  es  | en | 159  |
|                             retorno esperado                            |                              expected return                              |  es  | en | 160  |
|                                 comercio                                |                                   trade                                   |  es  | en | 161  |
|                              interés exacto                             |                               exact interest                              |  es  | en | 162  |
|                               recuperación                              |                                  recovery                                 |  es  | en | 163  |
|                                autoridad                                |                                 authority                                 |  es  | en | 164  |
|                   ganancias por diferencias cambiarias                  |                              gain on exchange                             |  es  | en | 165  |
|                               crawling peg                              |                                crawling peg                               |  es  | en | 166  |
|                           libre de gravámenes                           |                                unencumbered                               |  es  | en | 167  |
|                                concursado                               |                                 insolvent                                 |  es  | en | 168  |
|                       fondos de capital de riesgo                       |                           venture capital funds                           |  es  | en | 169  |
|                            cuentas por cobrar                           |                            accounts receivable                            |  es  | en | 170  |
|                            cifras semestrales                           |                             semiannual figures                            |  es  | en | 171  |
|                             mercado presente                            |                               present market                              |  es  | en | 172  |
|                              renta gravable                             |                               taxable income                              |  es  | en | 173  |
|                               cupón corto                               |                                Short coupon                               |  es  | en | 174  |
|                            inflación promedio                           |                             average inflation                             |  es  | en | 175  |
|                             costo de origen                             |                                 cost home                                 |  es  | en | 176  |
|                            beneficio contable                           |                             accounting profit                             |  es  | en | 177  |
|                             asiento de caja                             |                                  box seat                                 |  es  | en | 178  |
|                             renta vitalicia                             |                                  annuity                                  |  es  | en | 179  |
|                            mercado de valores                           |                                   market                                  |  es  | en | 180  |
|                            emisión prevendida                           |                               issue pre-sold                              |  es  | en | 181  |
|                          tendencia descendente                          |                               downward trend                              |  es  | en | 182  |
|                   sociedad constituida en el exterior                   |                        company incorporated outside                       |  es  | en | 183  |
|                              globalizacion                              |                               globalization                               |  es  | en | 184  |
|                              costo diferido                             |                               deferred cost                               |  es  | en | 185  |
|                    renta vitalicia de pago inmediato                    |                         immediate payment annuity                         |  es  | en | 186  |
|                           delegado fiduciario                           |                              delegate trustee                             |  es  | en | 187  |
|                           balance consolidado                           |                     consolidated financial statements                     |  es  | en | 188  |
|                        plan de inversión mensual                        |                          monthly investment plan                          |  es  | en | 189  |
|                            aumento de capital                           |                              capital increase                             |  es  | en | 190  |
|                            aviso de ejercicio                           |                              exercise notice                              |  es  | en | 191  |
|                         responsabilidad limitada                        |                                  limited                                  |  es  | en | 192  |
|                        ultimo día de negociación                        |                              last trading day                             |  es  | en | 193  |
|                         precio de oferta pública                        |                           public offering price                           |  es  | en | 194  |
|                              reorganización                             |                               reorganization                              |  es  | en | 195  |
|                            cotización oficial                           |                              official listing                             |  es  | en | 196  |
|                         deudas de difícil cobro                         |                                 bad debts                                 |  es  | en | 197  |
|                                  venta                                  |                                    sale                                   |  es  | en | 198  |
|                                  tramo                                  |                                  stretch                                  |  es  | en | 199  |
|                     endeudamiento del sector público                    |                          public sector borrowing                          |  es  | en | 200  |
|                           título valor exento                           |                              title free value                             |  es  | en | 201  |
|                     inversión en activos financieros                    |                       Investment in financial assets                      |  es  | en | 202  |
|                            masa de la quiebra                           |                             bankrupt's estate                             |  es  | en | 203  |
|                             acciones comunes                            |                               common shares                               |  es  | en | 204  |
|                    corredor de préstamos hipotecarios                   |                              mortgage broker                              |  es  | en | 205  |
|                            cartel de empresas                           |                              Business poster                              |  es  | en | 206  |
|                            fuera del balance                            |                             off balance sheet                             |  es  | en | 207  |
|                  servicios de asesoramiento al inversor                 |                         investor advisory services                        |  es  | en | 208  |
|                                 múltiplo                                |                                  multiple                                 |  es  | en | 209  |
|                          captura de dividendos                          |                            capturing dividends                            |  es  | en | 210  |
|                            pérdida operativa                            |                                    Loss                                   |  es  | en | 211  |
|                         indicador de realizacion                        |                        indicator of accomplishment                        |  es  | en | 212  |
|                           estructura de costos                          |                               cost structure                              |  es  | en | 213  |
|                           cuentas de resultado                          |                             income statements                             |  es  | en | 214  |
|                     participación en las utilidades                     |                               profit sharing                              |  es  | en | 215  |
|                             prima de riesgo                             |                                risk premium                               |  es  | en | 216  |
|                              no rescatable                              |                               non-redeemable                              |  es  | en | 217  |
|                             costo indirecto                             |                               indirect cost                               |  es  | en | 218  |
|                        comparación de patrimonios                       |                              wealth compared                              |  es  | en | 219  |
|                         riesgo de incumplimiento                        |                                default risk                               |  es  | en | 220  |
|                     casado automático de operaciones                    |                        Automatic operations married                       |  es  | en | 221  |
|                           cupón de renovación                           |                               renewal coupon                              |  es  | en | 222  |
|                                originador                               |                                 originator                                |  es  | en | 223  |
|                   inversor neutral respecto al riesgo                   |                           risk-neutral investor                           |  es  | en | 224  |
|                       cuenta de retiro individual                       |                       individual retirement account                       |  es  | en | 225  |
|                          dividendos ordinarios                          |                             ordinary dividends                            |  es  | en | 226  |
|                            embargo de sueldos                           |                                garnishment                                |  es  | en | 227  |
|                            canasta de monedas                           |                            basket of currencies                           |  es  | en | 228  |
|                                devolución                               |                                   return                                  |  es  | en | 229  |
|                          política expansionista                         |                            expansionist policy                            |  es  | en | 230  |
|                             gastos diferidos                            |                             deferred expenses                             |  es  | en | 231  |
|                           préstamo a tasa fija                          |                              fixed rate loan                              |  es  | en | 232  |
|                      participación en subsidiarias                      |                          interest in subsidiaries                         |  es  | en | 233  |
|                           documento por cobrar                          |                              note receivable                              |  es  | en | 234  |
|                         anticipos a proveedores                         |                           Advances to suppliers                           |  es  | en | 235  |
|                                 reservas                                |                                  reserves                                 |  es  | en | 236  |
|                        préstamo sin aval personal                       |                             non-recourse loan                             |  es  | en | 237  |
|                     actos mercantiles condicionados                     |                        conditioned commercial acts                        |  es  | en | 238  |
|                     anualidad por hipoteca revertida                    |                          reverse mortgage annuity                         |  es  | en | 239  |
|                      análisis de ratios financieros                     |                          financial ratio analysis                         |  es  | en | 240  |
|                         valor actual neto (van)                         |                          net present value (van)                          |  es  | en | 241  |
|                           sociedad controlante                          |                               parent company                              |  es  | en | 242  |
|            presupuesto para inversiones en bienes de capital            |                       budget for capital investments                      |  es  | en | 243  |
|                   desbordamiento (del tipo de cambio)                   |                        overflow (the exchange rate)                       |  es  | en | 244  |
|                           crédito documentado                           |                             documented credit                             |  es  | en | 245  |
|                           bono en eurodólares                           |                              Eurodollar bond                              |  es  | en | 246  |
|                               mercado gris                              |                                gray market                                |  es  | en | 247  |
|                                auditoría                                |                                   audit                                   |  es  | en | 248  |
|                          derecho de conversión                          |                             conversion rights                             |  es  | en | 249  |
|                                  mando                                  |                                  command                                  |  es  | en | 250  |
|                          período de veinte días                         |                           period of twenty days                           |  es  | en | 251  |
|                      capacidad de generar ganancias                     |                              earning capacity                             |  es  | en | 252  |
|                        hipoteca de segundo grado                        |                              second mortgage                              |  es  | en | 253  |
|                         fondos de renta variable                        |                                equity funds                               |  es  | en | 254  |
|                          acciones en tesorería                          |                              treasury shares                              |  es  | en | 255  |
|                     prima en colocación de acciones                     |                               paid-in shares                              |  es  | en | 256  |
|                         repatriación de capital                         |                            capital repatriation                           |  es  | en | 257  |
|                           ingresos per cápita                           |                             income per capita                             |  es  | en | 258  |
|                                  rubro                                  |                                   entry                                   |  es  | en | 259  |
