EdwinEsquivel1|Médico y Cirujano. Visitador Médico. Fan de la tecnología y redes sociales
romulohf|SEMPRE PROCURANDO EVOLUIR E OBTER SUCESSO NA VIDA TENDO CARÁTER, DIGNIDADE E RESPEITO COM O PRÓXIMO!!
miguelarturoa|Profesional en Administracion de Empresas /Agente, Asesor e Administracion de Inmuebles en  Bienes y Raices Industrial y Residencial
Pokecar|Tuve el honor de representar a Chile, Póker en Panamá. Uso Twitter para: Escribír frases, publicar noticias y conversar temas.
Creador de TT #MiLentoFavorito
SEGOBAguas|Twitter oficial de la Secretaría de Gobierno del Estado de Aguascalientes
martinalewaerts|Lic en Administración Unicen, Dipl. en Gestión de Negocios Tecnológicos. Impulsor compulsivo de proyectos.
zonacero|Portal que integra noticias radial con Atlántico en Noticias, televisivos con  CV Noticias y de producción propia, con énfasis en lo local. Con actualizaciones.
Vidoycielo|Pareja de caracas con ganas de experimentar nuevas experiencias, trios e intercambios..... Fotos en favoritos
NicoleGamerre|Futura Ingeniera Civil Industrial, alma rebelde, autentica, intensa, hablo de todo y un poco más. ∞ desatando infinitos ∞
alejorotoya|Club owner-entertainment business-nigth life. Desarollo de proyectos de entretenimiento
oscar_business|Business Management
Oscar_Snchz94|♥ Comercio Internacional , 18
YasJimeenez|De la merita capital del mundo... San Pedroyork, Coahuila! (:
sabricastelli|Contadora si, pero canchera! futura Lic en adm de empresas. Apasionada por las finanzas y el marketing  en la búsqueda continua de nuevos desafíos.
Alex_Cuevas_D|Camina hacia el futuro.           Tecnologías de la Información para los Negocios, 20 años
castmario|World traveler /  Photographer / Ad business & marketing rookie / Objetos Curiosos @TiendaCurios / My beagle, Tobías, owns me.
brunogiel|Economía, Start-ups, Humor, Ciencia Cognitiva y Xgames.
FabianLafaurie|Técnico nivel superior Mecánico  - Asesor Mecánico Industrial -Maquinaria Pesada . Rockero, algo loco y genio por naturaleza, Maideano y azul por sobre todo ...
Construenlace|Tuists actualidad, noticias, blogs, rss's, consejos, técnicas de #arquitectura  #construccion +
RAFECU|Adm de Empresas con enfasis en NI, Mencion en Gestion Financiera  Tennis, Work, Xbox, Futbol...
Piithaaluu19|orgullosa de origen capitalino|vivo en un estado mexiqense|fan de @gerabb_peqmus, @zorrofresa, @El_Bebeto ♥
